🐏广东,#genre#
广东综艺 4K,http://113.15.185.206:8181/tsfile/live/faacts/1010_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://171.38.38.156:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://113.15.185.206:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.110.43.108:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.109.225.183:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://180.142.145.135:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://219.137.29.178:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.38.38.156:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.15.185.206:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
广州台,http://171.110.43.108:8181/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
广州台,http://171.109.225.183:8181/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
广州台,http://180.142.145.135:8181/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
广州台,http://171.38.38.156:8181/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
广州影视,http://180.142.145.135:8181/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
广州影视,http://219.137.29.178:4433/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
广州影视,http://171.38.38.156:8181/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
广州新闻,http://219.137.29.178:4433/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
广东少儿,http://171.110.43.108:8181/tsfile/live/1136_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://171.109.225.183:8181/tsfile/live/1136_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://113.15.185.206:8181/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://171.110.43.108:8181/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://171.109.225.183:8181/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://219.137.29.178:4433/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
广东公共,http://113.15.185.206:8181/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://171.110.43.108:8181/tsfile/live/1137_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://171.109.225.183:8181/tsfile/live/1137_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://113.15.185.206:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
深圳体育,http://113.15.185.206:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
佛山影视,http://180.142.145.135:8181/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
佛山影视,http://171.38.38.156:8181/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
珠江电影,http://180.142.145.135:8181/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
珠江电影,http://171.38.38.156:8181/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教,http://171.110.43.108:8181/tsfile/live/1135_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教,http://171.109.225.183:8181/tsfile/live/1135_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教,http://113.15.185.206:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视K1,http://113.15.185.206:8181/tsfile/live/faacts/1106_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://171.110.43.108:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://171.108.239.31:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://219.145.19.216:1911/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://171.109.225.183:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://219.145.19.216:8096/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:33848/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:12414/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://123.160.233.118:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://219.145.19.216:12492/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:7402/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://221.213.69.82:8888/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://180.142.145.135:8181/tsfile/live/0125_2.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://180.142.145.135:8181/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://219.137.29.178:4433/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://171.38.38.156:8181/tsfile/live/0125_2.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://171.38.38.156:8181/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://219.145.19.216:7071/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:8040/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:2087/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:3390/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:12248/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:8006/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:12448/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:1337/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://219.145.19.216:12583/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://171.110.43.108:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://171.108.239.31:8181/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://219.145.19.216:1911/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://171.109.225.183:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://219.145.19.216:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:33848/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:12414/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://123.160.233.118:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://219.145.19.216:12492/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:7402/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://221.213.69.82:8888/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://180.142.145.135:8181/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://171.38.38.156:8181/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://219.145.19.216:7071/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:8040/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:2087/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:3390/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:12248/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:8006/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:12448/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:1337/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://219.145.19.216:12583/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
岭南戏曲B12,http://113.15.185.206:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
深圳电视剧,http://113.15.185.206:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
南方1,http://180.142.145.135:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
南方1,http://171.38.38.156:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://171.110.43.108:8181/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://171.108.239.31:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://171.109.225.183:8181/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://219.137.29.178:4433/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
南方卫视,http://113.15.185.206:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
南方3,http://180.142.145.135:8181/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
南方3,http://171.38.38.156:8181/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
南方5,http://180.142.145.135:8181/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
南方5,http://171.38.38.156:8181/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
南方4,http://180.142.145.135:8181/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
南方4,http://171.38.38.156:8181/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
深圳娱乐,http://113.15.185.206:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广州综合,http://113.15.185.206:8181/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
廉江公共,http://180.142.145.135:8181/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
廉江公共,http://171.38.38.156:8181/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://171.110.43.108:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://171.109.225.183:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://221.213.69.82:8888/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通,http://180.142.145.135:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://171.38.38.156:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0

💞港澳台,#genre#
本港台,http://171.110.43.108:8181/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
本港台,http://171.109.225.183:8181/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
本港台,http://180.142.145.135:8181/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
本港台,http://171.38.38.156:8181/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://180.142.145.135:8181/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://171.38.38.156:8181/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
TV星河,http://171.108.239.31:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
星河B11,http://113.15.185.206:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0

🐼卡通,#genre#
CCTV-14少儿,http://171.110.43.108:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://171.108.239.31:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:1911/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://171.109.225.183:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:33848/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:12414/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://123.160.233.118:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:12492/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:7402/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://180.142.145.135:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.137.29.178:4433/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14少儿,http://171.38.38.156:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:7071/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:8040/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:2087/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:3390/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:12248/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:8006/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:12448/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:1337/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.145.19.216:12583/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://171.108.239.31:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://221.213.69.82:8888/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
卡酷动画,http://180.142.145.135:8181/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://171.38.38.156:8181/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://171.110.43.108:8181/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://171.109.225.183:8181/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://171.110.43.108:8181/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://171.108.239.31:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://171.109.225.183:8181/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://221.213.69.82:8888/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://180.142.145.135:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://171.38.38.156:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://171.110.43.108:8181/tsfile/live/1120_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://171.109.225.183:8181/tsfile/live/1120_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://221.213.69.82:8888/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通,http://171.110.43.108:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://171.109.225.183:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://221.213.69.82:8888/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通,http://180.142.145.135:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://171.38.38.156:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0

⛹️体育,#genre#
CCTV-5体育,http://171.110.43.108:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://171.108.239.31:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:1911/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://171.109.225.183:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:33848/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:12414/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://123.160.233.118:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:12492/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:7402/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://180.142.145.135:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.137.29.178:4433/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5体育,http://171.38.38.156:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:7071/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:8040/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:2087/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:3390/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:12248/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:8006/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:12448/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:1337/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://219.145.19.216:12583/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://171.108.239.31:8181/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:1911/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:8096/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:33848/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:12414/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:12492/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:7402/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:7071/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:8040/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:2087/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:3390/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:12248/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:8006/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:12448/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:1337/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://219.145.19.216:12583/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.110.43.108:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.109.225.183:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://180.142.145.135:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://219.137.29.178:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.38.38.156:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.15.185.206:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0

🎥电影,#genre#
CCTV-6电影,http://171.110.43.108:8181/tsfile/live/faacts/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://171.108.239.31:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:1911/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://171.109.225.183:8181/tsfile/live/faacts/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:8096/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:33848/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:12414/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://123.160.233.118:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:12492/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:7402/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://180.142.145.135:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.137.29.178:4433/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://171.38.38.156:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:7071/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:8040/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:2087/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:3390/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:12248/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:8006/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:12448/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:1337/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://219.145.19.216:12583/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://171.110.43.108:8181/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://171.110.43.108:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://171.108.239.31:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://171.109.225.183:8181/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://171.109.225.183:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0

🎤音乐,#genre#
CCTV-3综艺,http://171.110.43.108:8181/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://171.108.239.31:8181/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
